,AAPL,MSFT,AMZN,GOOGL,NVDA,CAT,ABT,JPM,V,MA,NFLX,UNH,MCK,PG,HD,XOM,CVX,WMT,KO,MMM,BAC,C,GS,JCI,IBM,INTC,CSCO,BA,GE,MCD
2020-02-29,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.039995,0.000000,0.063878,0.000000,0.075583,0.000000,0.228658,0.014986,0.022677,0.003064,0.097762,0.252354,0.000000,0.000000,0.000000,0.000000,0.023955,0.000000,0.044696,0.000000,0.000000,0.008002,0.124389
2020-03-31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.028744,0.000000,0.057321,0.009406,0.081607,0.006766,0.212208,0.055443,0.000000,0.000000,0.102080,0.268177,0.000000,0.000000,0.000000,0.000000,0.031335,0.000000,0.020610,0.000000,0.000000,0.010547,0.115755
2020-04-30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004420,0.022244,0.027562,0.102179,0.033198,0.289158,0.028880,0.000000,0.000000,0.158333,0.187712,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045956,0.000000,0.000000,0.000000,0.100358
2020-05-31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010276,0.000000,0.029031,0.073525,0.044935,0.300349,0.000000,0.000000,0.000000,0.169092,0.238590,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.043674,0.000000,0.000000,0.024531,0.065998
2020-06-30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003439,0.000000,0.031356,0.074888,0.039915,0.301948,0.000000,0.000000,0.000000,0.172790,0.235250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.043803,0.000000,0.000000,0.025804,0.070807
2020-07-31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003742,0.000000,0.026801,0.068052,0.042864,0.297599,0.000000,0.000000,0.000000,0.176062,0.234908,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.061428,0.000000,0.000000,0.024167,0.064377
2020-08-31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.052162,0.000000,0.018660,0.065151,0.042249,0.256912,0.000000,0.000000,0.000000,0.166140,0.221948,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.083034,0.000000,0.000000,0.031467,0.062277
2020-09-30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025255,0.000000,0.017974,0.072437,0.051226,0.267257,0.000000,0.000000,0.000000,0.179025,0.207828,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.072794,0.040163,0.000000,0.024034,0.042006
2020-10-31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004472,0.000000,0.016663,0.074061,0.052281,0.268045,0.000000,0.000000,0.000000,0.183412,0.213606,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.076205,0.030396,0.000000,0.025141,0.055718
2020-11-30,0.000000,0.007023,0.000000,0.000000,0.000000,0.007493,0.000000,0.000000,0.000000,0.000000,0.011786,0.055216,0.043136,0.272770,0.000000,0.000000,0.000000,0.165152,0.209763,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.063717,0.023144,0.000000,0.051749,0.089052
