,AAPL,MSFT,AMZN,GOOGL,NVDA,CAT,ABT,JPM,V,MA,NFLX,UNH,MCK,PG,HD,XOM,CVX,WMT,KO,MMM,BAC,C,GS,JCI,IBM,INTC,CSCO,BA,GE,MCD
2020-02-29,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.033929,0.000000,0.080748,0.028771,0.117213,0.000000,0.268850,0.000000,0.000000,0.000000,0.077734,0.158790,0.000000,0.000000,0.000000,0.000000,0.041461,0.000000,0.055869,0.000000,0.000000,0.014210,0.122425
2020-03-31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014602,0.000000,0.027821,0.058567,0.128003,0.000000,0.277379,0.052871,0.000000,0.000000,0.071011,0.154579,0.000000,0.000000,0.000000,0.000000,0.052771,0.000000,0.025651,0.000000,0.000000,0.009320,0.127425
2020-04-30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.085788,0.150844,0.003264,0.374387,0.048080,0.000000,0.000000,0.119579,0.043515,0.000000,0.000000,0.000000,0.000000,0.001468,0.000000,0.050248,0.000000,0.000000,0.000000,0.122825
2020-05-31,0.000000,0.000000,0.000000,0.000000,0.000000,0.046410,0.000000,0.000000,0.000000,0.000000,0.075114,0.095706,0.018605,0.347043,0.000000,0.000000,0.000000,0.148707,0.171184,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031401,0.000000,0.000000,0.019637,0.046191
2020-06-30,0.000000,0.000000,0.000000,0.000000,0.000000,0.046565,0.000000,0.000000,0.000000,0.000000,0.075096,0.095515,0.018484,0.347068,0.000000,0.000000,0.000000,0.148963,0.171031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031258,0.000000,0.000000,0.019668,0.046352
2020-07-31,0.000000,0.000000,0.000000,0.000000,0.000000,0.043679,0.000000,0.000000,0.000000,0.000000,0.071798,0.089279,0.020721,0.336361,0.000000,0.000000,0.000000,0.154024,0.181524,0.000000,0.000000,0.000000,0.000000,0.001730,0.000000,0.044806,0.000000,0.000000,0.019250,0.036828
2020-08-31,0.000000,0.000000,0.000000,0.000000,0.000000,0.024436,0.000000,0.000000,0.000000,0.000000,0.064659,0.096368,0.026564,0.303832,0.000000,0.000000,0.000000,0.150117,0.187208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.091600,0.000000,0.000000,0.026697,0.028519
2020-09-30,0.000000,0.000000,0.000000,0.000000,0.000000,0.010506,0.000000,0.000000,0.000000,0.000000,0.054244,0.098747,0.034090,0.308580,0.000000,0.000000,0.000000,0.159270,0.186545,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.071922,0.049934,0.000000,0.022018,0.004143
2020-10-31,0.000000,0.000000,0.000000,0.000000,0.000000,0.017699,0.000000,0.000000,0.000000,0.000000,0.054491,0.097065,0.034232,0.310437,0.000000,0.000000,0.000000,0.160490,0.182120,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.071322,0.043350,0.000000,0.021730,0.007065
2020-11-30,0.000000,0.000000,0.000000,0.000000,0.000000,0.033538,0.000000,0.000000,0.000000,0.000000,0.053509,0.089275,0.024818,0.321423,0.000000,0.000000,0.000000,0.128652,0.159951,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.055425,0.044759,0.000000,0.041640,0.047009
